,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
195306,-1.7,-1.18,-1.9,-2.13,-0.64,-1.72,-1.5,0.07,-2.67,-1.96
195307,2.96,2.84,1.63,2.05,2.73,3.79,3.12,2.65,5.21,2.18
195308,-2.87,-2.58,-3.31,-2.25,-3.01,-5.13,-3.98,-6.65,-6.89,-7.98
195309,2.06,-0.31,1.82,-0.05,1.3,0.15,-1.11,-0.64,-0.1,-1.28
195310,3.89,2.33,5.43,4.14,4.91,5.48,3.58,7.53,6.57,7.19
195311,4.28,2.55,3.13,1.96,4.24,2.35,3.11,1.68,2.67,2.82
195312,0.57,0.24,0.3,-0.31,1.22,0.38,0.02,1.82,1.88,0.52
195401,2.21,3.3,4.34,3.93,5.46,8.05,7.23,7.48,6.68,8.33
195402,0.17,1.44,2.79,1.9,1.64,1.37,1.35,4.16,3.76,0.75
195403,3.72,5.38,4.11,2.67,2.75,3.28,2.94,6.23,6.22,4.64
195404,5.53,0.34,5.99,2.19,3.8,6.47,4.65,4.43,4.01,6.63
195405,3.05,4.44,0.96,4.41,2.38,3.24,3.29,2.67,3.24,6.61
195406,2.57,3.3,4.22,1.79,3.19,-2.28,-1.77,-3.17,-2.47,0.43
195407,0.97,4.52,5.06,9.06,6.1,4.6,4.14,6.54,7.23,9.64
195408,-2.94,-3.42,-2.84,-3.67,-2.43,-4.14,1.11,-0.93,-1.82,-4.55
195409,6.63,3.78,3.29,10.89,4.4,5.91,10.27,9.27,8.22,9.18
195410,-3.56,-1.21,-1.85,-1.16,-1.91,-2.71,-1.62,-1.73,-0.8,2
195411,12.59,9.75,5.49,6.81,8.48,8.37,8.54,8.74,12.22,15.55
195412,3.23,3.79,2.07,5.7,4.63,5.06,5.34,7.16,9.38,12.08
195501,-0.3,-0.38,0.17,0.73,1.04,2.15,2,-0.25,1.46,3.85
195502,4.43,1.35,2.97,1.04,4.79,4.05,1.16,3.87,2.76,4.48
195503,-0.69,0.6,-0.95,-0.08,-0.92,2.71,-1.32,-0.43,2.09,1.42
195504,6.39,4.13,1.98,3.22,3.56,2.66,1.89,2.68,0.6,3.77
195505,3.11,3.4,0.24,0.13,2.29,3.58,-0.89,-1.71,1.42,0.53
195506,8.49,2.68,1.78,8.47,4.16,4.22,10.97,7.68,10.22,15.68
195507,-1.19,-0.84,0.18,2.75,14.04,1.55,-0.25,1.14,1.59,-0.32
195508,2.3,1.62,0.59,-0.56,-3.5,1.53,1.84,0.61,-1.03,3.76
195509,-2.19,-2.54,-1.52,0.43,4.24,-0.06,-2.59,0.83,1.74,0.71
195510,-2.92,-3.14,-2.4,-1.27,-3.07,-4.58,-2.35,-1.96,-0.24,-4.47
195511,8.09,7.1,5.99,2.35,9.85,5.34,8.15,7.34,6.45,8.16
195512,2.62,1.71,3.7,0.7,-0.94,3.91,3.57,1.47,5.52,1.72
195601,-4.83,-4.41,-4.11,-0.54,-3.3,-1.02,-2.37,-0.78,-1.18,-3.79
195602,5.31,5.41,5.07,0.81,4.48,1.46,3.73,4.92,4.16,4.2
195603,6.04,7.44,9.58,2.04,7.5,8.24,9.08,8.41,8.11,7.84
195604,-1.05,-0.62,0.45,-0.35,-1.61,0.4,-0.04,2.74,8.09,4.59
195605,-5.95,-4.99,-2.56,-2,-4.28,-3.46,-4.23,-6.41,-7.84,-8.66
195606,4.09,3.67,5.97,1.57,4.2,3.93,3.98,3.48,4.44,5.22
195607,4.05,4.97,4.89,3.96,5.58,6.45,5.39,9.31,5.65,9.52
195608,-3.78,-5.1,-4.12,-0.77,-1.52,-4.87,-1.02,-6.17,-0.29,-1.2
195609,-6.8,-8.77,-4.84,-2.5,-6.26,-6.19,-3.72,-4.01,-3.92,-1.72
195610,1.55,-0.3,1.88,-1.16,0.5,0.92,-0.3,2.94,-0.13,3.02
195611,-2.69,-2.21,2.88,-1.06,0.02,1.47,0.62,0.81,6.2,4.09
195612,4.08,2.98,4.3,1.8,1.91,5.39,1.64,7.34,4.95,5.01
195701,-5.27,-3.71,-1.82,-2.28,-2.21,-3.26,-0.64,-6.33,-6.84,-8.36
195702,-0.95,-1.13,-2.16,-0.85,-2.25,-2.09,-2.88,0,-1.98,-5.87
195703,3.37,2.93,2.7,0.78,1.15,3.81,2.34,2.48,2.06,0.78
195704,5.64,3.73,5.45,4.07,2.36,5.59,2,6.49,4.4,6.94
195705,4.51,3.71,5.67,1.4,3.9,5.59,1.1,4.76,3.8,4.35
195706,1.29,0.37,1.19,-1.17,-3.1,-1.89,-2.82,-1.55,-1.21,0.89
195707,1.11,3.53,0.37,0.57,-0.56,1.71,1.92,0.58,0.27,0.68
195708,-6.23,-4.14,-5.01,-1.62,-4.79,-4.39,-4.35,-3.61,-6.23,-6.55
195709,-5.53,-6.57,-8.2,-3.37,-3.92,-4.49,-5.77,-4.27,-7.18,-6.71
195710,-2.72,-3.36,-4.13,-3.36,-4.57,-2.37,-4.01,-4.07,-5.81,-5.15
195711,5.27,0.06,1.55,3.24,2.21,1.85,2.49,2.85,2.11,0.36
195712,-2.77,-3.7,-3.8,0.53,-5.09,-3.68,-4.55,-4.18,-6.57,-7.46
195801,3.58,3.29,3.55,3.5,5.6,4.7,4.95,4.13,6.34,10.38
195802,-1.92,-1.04,-3.22,0.33,-0.79,-0.3,0.78,0.15,-5.59,-2.22
195803,1.62,3.26,5.08,2.82,4.34,3.81,3.69,5.23,7.46,3.87
195804,0.89,4.56,4.73,2.98,3.15,3.62,5.82,0.22,2.84,1.66
195805,1.49,3.49,0.1,2.31,3.62,2.11,3.19,3.56,1.41,2.93
195806,3.18,2.47,3.6,1.83,2.29,3.86,3.15,2.17,3.95,3.49
195807,5.28,5.93,1.5,5.06,2.74,1.5,5.58,6.36,7.64,5.7
195808,2.07,1.9,1.58,0.77,1.58,1.96,1.68,5.07,3,2.48
195809,4,5.75,4.68,7.07,3.37,3.84,6.06,5.07,4.77,8.12
195810,2.35,2.91,1.7,1.95,2.82,3.79,3.04,1.8,5.9,0.48
195811,4.45,2.78,3.31,2.16,4.4,2.99,1.12,4.59,0.99,3.21
195812,7.89,5.78,2.1,7.41,5.89,3.73,3.4,4.03,6.39,4.08
195901,-1.31,1.11,0.02,0.92,1.75,1.03,2.86,2.01,1.77,7.43
195902,3.79,4.42,-1.92,1.3,2.62,-5.68,-0.62,2.57,0.29,2.77
195903,1.88,-0.89,0.76,-0.56,0.16,2.45,-1.4,2.49,-0.64,4.48
195904,6.59,3.84,2.28,5.47,2.07,2.32,1.47,3.15,3.24,4.93
195905,4.78,1.96,-0.55,1.8,0.56,0.37,3.43,2.61,1.29,5.44
195906,-0.68,2.06,0.67,-1.4,-1.13,-2.25,2.61,0.66,1.69,2.43
195907,3.61,2.95,5.02,3.96,3.58,1.49,3.48,3.99,4.32,3.66
195908,-1.73,-1.85,-1.16,-0.19,0.75,-0.01,0.15,-2.14,-3.45,-2
195909,-4.27,-4.12,-5.37,-4.54,-5.25,-2.57,-4.9,-3.12,-6.43,-5.32
195910,2,2.6,0.06,3.01,1.19,1.26,-0.52,3.72,1.88,-0.08
195911,6.4,3.1,-0.2,0.93,1.41,-0.12,1.58,-0.58,0.39,0.55
195912,2.82,2.73,3.95,0.11,3.53,3.06,4.24,2.95,1.78,2.26
196001,-9.62,-6.04,-9.06,-5.62,-7.21,-3.32,-5.18,-7.16,-4.16,-8.42
196002,3.63,2.27,-1.09,1.92,0.09,6.54,-1.87,-1.57,0.63,-0.9
196003,0.87,-0.83,-3.2,-1.25,-2.58,-0.13,-1.04,0.39,-2.91,-5.29
196004,-1.22,-0.16,-2.84,-0.79,-1.27,-1.62,-1.98,-1.68,-0.59,-2.53
196005,7.82,4.79,1.85,3.16,4.91,1.34,0.73,-2.25,0.57,-0.61
196006,1.91,3.57,0.74,4.92,1.76,1.78,5.23,4.05,0.75,2.94
196007,-4.84,-4.79,-1.82,-2.48,-0.66,-0.14,0.12,0.22,-1,-0.29
196008,1.88,2.41,2.74,2.9,2.27,5.85,3.77,3.92,5.14,3.61
196009,-8,-6.54,-6.23,-6.96,-2.7,-5.18,-3.5,-2.67,-5.73,-2.82
196010,-2.21,-0.71,-0.88,0.07,-1.34,0.83,2.65,1.23,0,0.09
196011,5.6,6.41,3.76,4.77,2.82,4.24,5.01,5.16,2.65,5.23
196012,3.67,3.3,2.69,6.28,6.03,9.9,3.86,6.55,3.59,3.55
196101,3.54,5.01,6.47,7.1,8.37,6.08,7.62,6.2,11.81,10.52
196102,2.76,4.11,5.76,3.68,2,1.79,3.36,3.36,3.97,3.24
196103,2.05,2.15,1.57,5.06,3.35,5.65,2.55,2.26,1.12,3.79
196104,-0.66,0.69,-1.88,0.35,1.31,1.02,1.12,3.76,4.33,3.67
196105,2.87,4.15,4.02,2.78,0.98,1.19,2.66,-0.11,3.65,3.4
196106,-1.32,-1.93,-2.23,-4.25,-4.08,-3.04,-4.06,-1.88,-4.27,-3.65
196107,1.23,3.31,1.57,5.34,3.12,3.78,4.03,4.99,2.32,2.49
196108,4.46,4.36,3.36,0.16,4.22,1.28,2.15,-0.75,0.98,0.88
196109,0.26,-1.96,-2.52,-0.45,-1.34,0.5,-4.53,-6.56,-5.91,-3.45
196110,4.21,2.85,-0.73,1.36,4.78,0.85,4.34,4.03,4.84,3.99
196111,2.89,3.63,4.62,6.82,4.65,6.58,5.04,3.21,3.95,5.1
196112,-0.96,-1.45,-1.84,0.94,-1.56,2.27,2.81,0.32,1.08,3.26
196201,-7.04,-4.73,-4.46,-4.78,-3.67,-1.74,-1.21,-1.05,0,0.52
196202,0.27,3.38,0.62,3.16,2.65,-0.54,4.18,1.21,3.92,3.09
196203,1.38,-0.48,-1.88,-1.93,0.15,1.19,-0.33,-0.8,-1.65,-3.23
196204,-8.96,-6.48,-8.49,-3.72,-5.53,-5.94,-5.11,-5.92,-5.33,-5.01
196205,-11.45,-10.81,-7.65,-8.5,-9.51,-5.16,-5.19,-6.13,-6.48,-6.86
196206,-12.33,-8.62,-9.52,-7.52,-7.31,-6.62,-5.67,-8.44,-5.98,-5.09
196207,10.85,8.3,5.05,6.81,3.97,4.43,5.66,4.4,5.23,4.49
196208,2.35,3.17,1.06,2.4,2.17,1.5,3.03,1.41,0.89,3.58
196209,-8.15,-4.58,-4.69,-3.92,-5.72,-5.89,-3.12,-2.99,-5.01,-3.36
196210,-1.61,2.16,-1.04,2.56,1.3,-0.93,-0.61,-0.07,0.03,-0.13
196211,13.76,12.21,11.11,7.12,11.37,12.06,10.77,11.22,11.27,11.93
196212,0.1,1.64,1.69,1.93,0.85,0.02,3.04,2.93,3,1.42
196301,5.36,3.35,5.88,5.92,5.98,4.68,4.98,2.82,3.67,6.84
196302,-3.4,-3.43,-1.78,-2.34,-2.21,-1.04,-2.21,-1.41,-1.35,-0.6
196303,2.74,2.13,2.94,3.86,2.33,2.07,4.98,4.92,5.43,6.02
196304,5.81,4.32,2.97,3.99,4.21,5.34,3.48,6.64,5.2,6.07
196305,2.27,2.12,2.01,2.19,2.84,1.89,-0.23,0.55,3.51,3.62
196306,-3,-3.07,-0.76,-2.61,-2.16,-2.42,0.74,-0.37,-0.98,-0.34
196307,-0.83,0.85,-0.18,0.88,0.91,0.88,0.26,-1.64,0.31,0.47
196308,5.71,5.51,5.06,4.7,3.51,5.37,6.24,7.56,5.14,6.2
196309,-0.83,-2.02,0.35,-2.23,-3.08,-0.52,-0.9,-1.61,-1.84,-2.77
196310,3.87,1.57,3.6,1.89,0.73,7.46,-0.48,2.08,0.75,2.91
196311,0.12,-0.88,1.86,-0.42,0.68,-4.67,-1.46,-2.37,0.14,0.02
196312,2.82,2.09,0.58,3.03,5.03,0.77,0.96,4.28,2.07,1.06
196401,3.3,1.54,3.07,1.48,3.88,2.01,3.48,0.73,3.22,3.37
196402,2.32,1.42,-0.11,2.28,1.55,1.26,2.32,3.61,2.96,5.15
196403,1.25,-0.52,0.44,3.19,1.68,1.91,5.15,2.79,3.26,4.23
196404,-1.64,0.05,0.43,-0.43,2.79,3.36,0.19,0.8,-0.78,1.14
196405,2.19,1.55,-0.5,1.26,1.9,1.42,2.2,3.49,1.65,2.95
196406,0.38,2.61,4.27,1.74,0.42,1.8,1.35,2.98,0.28,0.6
196407,0.55,3.33,-0.05,4.79,2.34,2.28,3.17,2.09,3.57,0.92
196408,-2.2,-1.07,-1.19,0.19,-1.2,-0.6,-2.3,1.16,-0.2,-2.5
196409,2.86,3.3,0.96,3.48,3.1,2.68,3.74,4.25,4.63,6.4
196410,-0.88,0.76,0.17,1.31,3.17,0.22,2.53,-0.53,1.96,2.13
196411,0.71,1.33,-0.64,-0.59,1.51,0.66,2.14,0.01,-1.8,-0.91
196412,0.86,1.22,1.53,1.62,-0.75,0.62,-0.82,-0.42,-1.84,-1.66
196501,6.86,4.95,1.95,3.57,0.06,4.3,2.87,2.82,5.94,4.62
196502,1.51,-0.06,1.47,0.56,-1.57,1.14,-0.16,-0.12,0.74,3.92
196503,-1.29,-1.12,-1.56,-0.07,-2.12,-0.07,-2.84,-0.54,0.04,0.3
196504,5.47,1.55,2.86,5.71,2.15,1.89,2.67,2.28,3.11,5.1
196505,-0.45,1,1.68,-2.89,-0.69,-0.53,1.93,-1.84,0.48,0.59
196506,-4.6,-5.39,-4.56,-5.82,-2.89,-6.05,-4.68,-5.14,-3.92,-8.83
196507,2.22,2.32,0.48,-0.85,2.29,1.92,3.51,4.55,3.8,2.81
196508,4.47,2.56,1.93,2.07,2.88,4.43,3.9,1.17,2.48,4.55
196509,3.03,3.63,3.62,3.1,2.16,2.8,2.9,5.36,2.75,5.56
196510,2.65,2.13,2.11,2.91,2.57,2.68,4.39,4.91,4.98,8.1
196511,2.7,-0.59,-2.91,-0.32,-0.11,1.69,2.45,2.34,1.42,3.41
196512,2.66,-0.7,-0.02,0.31,3.3,0.93,2.96,1.55,3.41,3
196601,0.11,-0.49,-0.29,-0.88,2.99,1.76,5.09,3.06,4.51,5.31
196602,-0.93,-0.3,-1.15,-2.26,-1.87,-3.2,-0.35,0.47,-0.21,4.36
196603,0.63,-1.63,-4.15,-2.35,-2.66,-1.93,-3.31,-1.37,-2.42,0.67
196604,3.84,3.13,0.28,2.22,3.49,1.83,2.47,1.97,3.15,4.12
196605,-4.52,-3.96,-4.6,-4.76,-6.01,-5.17,-7.35,-5.96,-7.51,-8.55
196606,-0.33,-2.05,-1.46,-3.56,-1.53,-1.42,0.71,1.61,0.41,2.46
196607,-2.02,-1.82,-1.65,-1.32,-0.45,-1.97,0.07,-1.07,-0.22,-0.99
196608,-7.28,-7.08,-8.4,-7.75,-7.2,-7.19,-6.28,-8.46,-8.04,-8.67
196609,-2.18,-0.54,-0.28,-2.97,0.22,0.64,2.25,-2.03,1.15,-2.89
196610,1.87,5.43,5.83,4.88,5.74,4.67,5.83,1.45,3.85,3.17
196611,7.74,3.67,2.03,1.45,-3.19,-0.15,1.28,0.04,2.01,-0.48
196612,-1.07,-0.46,1.46,2.7,0.64,3.29,0.14,1.68,-0.97,0.37
196701,7.28,6.96,7.69,9.56,7.08,8.74,6.94,12.82,10.63,17.44
196702,3.63,2.59,0.34,-1.03,0.04,-0.44,-0.47,-0.48,-0.65,-0.44
196703,4.79,3.38,3.83,4.64,4.37,4.18,4.02,5.71,4.04,8.13
196704,6.47,6.18,4.09,2.88,2.79,2.31,3.51,4.4,3.84,3.52
196705,-5.92,-3.98,-3.84,-3.48,-5.11,-2.52,-3.23,-2.51,-2.1,-4.34
196706,2.81,2.67,0.65,1.73,1.1,2.09,2.8,2.9,4.5,4.74
196707,3.23,6.32,4.22,-1.09,6.92,8.57,6.58,6.8,8.58,7.18
196708,-1.24,0.01,0.01,-0.67,-1.29,-1.2,-0.72,-1.98,2.38,0.48
196709,5.16,1.95,4.4,2.68,3.38,3.84,1.5,1.72,2.95,3.5
196710,1.91,-3.09,-4.64,-3.6,-1.03,-4.3,-6.01,-5.17,-2.45,-7.28
196711,2.63,0.9,0.82,-0.34,-0.33,-0.4,0.56,-1.44,-0.46,0.73
196712,2.54,1.27,2.3,2.8,3.62,3.9,4.08,7.4,4.79,4.03
196801,-8.6,-3.71,-3.3,-1.51,0.55,-4.32,-3.12,-1.36,-1.66,-0.11
196802,-3.47,-3.43,-2.16,-3.08,-2.45,-3.41,-2.79,-3.18,-3.56,-3.54
196803,4.12,0.5,-0.97,-1.84,0.59,-0.57,-1.46,0.87,1.58,-0.92
196804,11.56,10.84,8.6,5.36,5.76,7.2,10.24,8.16,13.48,11.65
196805,4.46,0.61,0.89,1.06,1.1,0.23,3.21,2.94,4.77,5.52
196806,-0.98,0.38,2.93,1.94,2.18,2.65,2.5,2.7,0.07,-1.88
196807,-6.43,-5.58,-2.97,-3.26,-3.25,-0.51,-0.5,0.52,4.28,1.81
196808,1.88,0.19,2.49,1.26,2.85,1.25,1.12,2.71,2.02,1.66
196809,2.46,3.16,3.58,5.95,5.72,5.16,3.75,3.47,3.52,9.22
196810,-1.18,-3.82,2.95,0.18,2.24,3.34,0.86,2.13,3.96,1.52
196811,7.45,6.78,5.24,6.24,6.76,0.42,6.86,5.66,6.32,8.84
196812,-4.47,-4.81,-4.29,-4.12,-3.19,-3.28,-0.72,-4.06,-3.42,-1.49
196901,-1.36,-2.91,-1.69,-0.1,-0.24,-0.32,0.49,0.7,-0.87,-1.06
196902,-5.9,-3.26,-5.79,-5.81,-6.49,-3.34,-4.93,-4.45,-4.78,-6.99
196903,2.98,5.27,4.25,0.47,2.26,3.85,2.16,1.08,4.42,5.51
196904,3.84,3.9,1.93,2.59,1.03,-0.27,1.79,3.99,-0.39,0.78
196905,0.57,-1.01,0.26,-2.26,-1.25,1.39,-2.26,0.52,4.13,2.38
196906,-4.18,-1.21,-6.88,-7.6,-8.78,-7.29,-6.89,-6.91,-7.48,-11.18
196907,-5.28,-5.18,-5.27,-6.65,-7.14,-6.61,-6.76,-5.97,-6.97,-8.55
196908,8.8,6.93,5.48,6.97,4.28,4.55,3.47,1.48,4,3.01
196909,0.68,-0.66,0.71,-3.37,-4.57,-2.85,-3.03,-1.1,-5.55,-5.73
196910,7.9,6.27,7.38,7.69,6.77,6.38,5.8,4.93,1.65,4.46
196911,-1.77,-2.04,-3.37,-2.97,-2.85,-3.65,-5.29,-3.8,-2.9,-6.02
196912,-0.28,1.5,-1.34,-2.26,-1.29,-3.01,-3.11,-2.51,-3.96,-4.18
197001,-9.48,-7.61,-6.23,-6.67,-7.52,-7.1,-7.36,-6.83,-7.46,-8.82
197002,4.43,3.07,5.97,5.24,7.42,6.55,7.16,7.24,7.35,6.96
197003,-5.76,-1.55,-0.07,-1.09,1.58,0.43,0.46,3.25,1.76,0.31
197004,-13.68,-10.74,-10.7,-12.27,-12,-8.19,-10.01,-7.96,-7.43,-8.5
197005,-9.84,-7.95,-7.38,-9.81,-9.52,-4.87,-5.58,-4.96,-1.07,-3.47
197006,-7.02,-6.68,-3.25,-5.11,-4.03,-4.5,-3.99,-3.3,-5.41,-5.81
197007,1.8,10.1,7.98,7.16,10.14,8.2,9.69,9.56,9.55,7.75
197008,4.89,2.79,4.26,4.81,5.05,4.62,3.43,7.14,7.04,7.03
197009,8.87,7.32,4.44,4.2,2.79,2.5,1.03,2.29,0.98,5
197010,-0.49,-2.33,-2.44,-1.54,-2.11,-3.96,-3.65,1.24,-0.72,-3.74
197011,4.23,5.86,3.14,5.08,5.92,6.72,6.86,4.66,6.25,3.46
197012,4.36,5.42,8.22,7,8.14,8.69,7.21,4.13,6.16,8.43
197101,4.71,5.57,2.83,7.53,5.3,6,7.6,1.96,2.66,6.99
197102,2.28,2.93,2.57,1.68,0.65,0.89,-2.8,4.4,1.35,3.18
197103,7.03,5.23,4.82,4.87,4.32,3.97,1.64,2.62,2.61,3.59
197104,3.14,4.97,1.18,4.74,2.3,1.71,2.38,2.2,6.79,4.98
197105,-2.99,-2.3,-3.62,-3.91,-3.55,-3.89,-4.56,-3.73,-5.13,-4.29
197106,1.2,0.54,0.8,0.62,1.14,0.48,0.87,-1.91,-1.49,0.27
197107,-4.28,-5.2,-3.47,-3.43,-2.64,-4.67,-4.72,-2.91,-4.06,-5.32
197108,6.11,5.55,5.36,4.18,3.56,4.14,3.28,-1.02,2.5,8.07
197109,1.44,-0.03,-0.12,-0.35,-0.57,-1.12,-2.29,-0.9,-1.63,-3.31
197110,-3.21,-3.57,-3.77,-5.89,-2.52,-4.19,-4.57,-3.03,-6.34,-5.98
197111,1.22,0.63,0.51,-2.01,-1.59,0.24,-1.34,-0.38,-1.11,-0.22
197112,9.74,9.63,7.27,10.27,8.34,9.66,10,7.65,10.23,9.62
197201,2.4,3.72,1.41,2.27,1.68,1.81,2.08,1.23,3.84,5.33
197202,7.45,3.45,1.59,2.54,1.8,2.13,2.44,0.33,2.22,2.44
197203,2.26,2.21,3.14,3.24,1.22,-0.44,-1.29,-3.23,-1.82,-0.94
197204,1.13,1.71,0.18,-0.21,-0.71,1.36,1.33,-0.76,-0.28,-0.58
197205,4.05,3.04,-0.25,-0.75,-0.34,-0.63,-0.7,2.92,1.28,-0.25
197206,-0.08,-2.54,-1.17,-1.6,-2.84,-2.75,-3.01,-2.81,-4.42,-3.34
197207,1.48,0.46,-0.49,-1.14,-2.91,-1.36,-1.54,-1.09,-0.7,-2.09
197208,-1.31,1.6,1.36,5.63,5.84,5.47,5.61,5.85,8.3,7.8
197209,0.77,-0.4,-1.56,-1.79,-3.51,-3.13,-2.36,-2.1,1.21,-2.35
197210,1.91,-1.62,2.49,1.02,1.46,1.47,0.94,2.36,1.1,1.46
197211,1.06,2.13,3.5,4.92,7.52,7.33,8.32,9.81,7.47,10
197212,4.62,2.14,1.23,-1.69,-0.73,-1.21,-1.14,-1.54,0.61,-0.63
197301,-3.5,0.61,-5.88,-5.48,-5.86,-6.69,-3.57,-5.5,1.83,-1.77
197302,-3.04,-2.64,-6.19,-4.52,-2.42,-4.69,-5.6,-3.1,-5.82,-5.37
197303,-0.9,-1.55,0.17,-0.91,-2.81,-0.76,0.78,-1.7,2.22,-1.43
197304,-6.6,-6.17,-7.2,-5.83,-3.89,-4.61,-3.19,-4.66,0.14,-2.89
197305,0.63,-1.76,-1.87,-3.63,-3.05,-2.35,-0.93,-1.96,-3.46,-4.38
197306,-1.02,-0.37,-0.19,-1.01,-3.03,-3.14,-1.27,-2.01,0.46,-1.45
197307,7.36,6.08,10.6,6.75,7.42,1.11,1.89,4.67,1.87,6.07
197308,-3.97,-2.6,-3.49,-1.05,-1.87,-3.98,-3.19,-2.52,-3.07,-3.19
197309,2.34,-1.26,9.88,10.75,9.54,8.33,8.35,9.38,8.22,11.3
197310,-1.28,2.37,-0.82,0.83,0.82,-0.56,-0.16,-0.24,-2.84,0.61
197311,-13.22,-10.43,-13.73,-14.13,-13.44,-11.41,-13.61,-9.76,-10.21,-14.4
197312,-1.41,-2.49,0.7,3.51,3.24,5.34,5.68,4.28,5.01,4.63
197401,-1.72,-1.62,2.38,-0.71,1.21,-1.98,3.41,2.33,2.93,5.92
197402,-1.84,-1.35,1.57,0.21,3.71,-0.64,1.15,1.38,2.46,2.35
197403,-1.55,-2.3,-0.66,-3.7,-2.36,-2.8,-1.78,-1.81,-3.34,-1.32
197404,-2.97,-4.64,-3.35,-4.79,-6.67,-5.13,-5.87,-6.78,-4.57,-1.59
197405,0.22,-4.29,-6.12,-5.41,-7.07,-6.21,-5.44,-5.05,-2.22,-4.46
197406,-2.34,-1.99,-2.93,-1.1,-1.11,-3.19,-2.97,-2.99,-0.15,-1.01
197407,-13.61,-7.02,-3.86,0.72,-3.3,-6.63,-1.02,-8.12,-4.04,-4.2
197408,-10.53,-8.52,-12.53,-9.73,-7.46,-3.04,-7.59,-3.53,-7.17,-8.11
197409,-16.37,-13.75,-7.91,-7.91,-4.55,-6.06,-7.85,-8.94,-6.59,-7.97
197410,23.09,22.31,15.48,15.88,12.57,12.19,13.48,3.47,6.08,2.81
197411,-4.22,-3.8,-3.02,-3.41,-3.59,-3.92,-3.59,-5.27,-3.26,-6.05
197412,-4.29,-4.02,-1.57,-0.29,-3.65,0.16,0.06,-1.38,-3.39,-3.99
197501,10.17,11.18,13.06,15.22,19.94,13.42,18.53,22.94,24.87,26.26
197502,9.88,9.19,2.6,4.12,2.64,4.62,2.13,3.53,1.12,-0.45
197503,4.01,1.75,4.54,1.25,3.22,0.5,1.79,6.02,8.86,9.22
197504,5.32,5.33,6.72,6.08,3.55,1.36,3.34,5.14,4.74,2.49
197505,5.69,4.67,6.08,8.13,6.85,5.16,6.85,4.04,2.44,5.61
197506,3.33,4.21,6.48,6.49,7.84,5.3,6.66,7.43,7.66,7.85
197507,-9.11,-7.56,-5.93,-5.35,-2.28,-5.29,-3.59,-4.17,-4.25,-3.23
197508,-3.94,-2.23,-1.37,-1.67,-3.05,-0.24,-0.27,-2.45,0.8,-4.38
197509,-5.85,-3.3,-4.87,-2.88,-0.54,-2.35,-2.32,-2.95,-2.99,-4.76
197510,8.28,8.08,5.16,2.69,6.52,5,3.06,4.09,3.09,0.6
197511,4.3,3.41,2.05,1.61,4.27,1.42,0.33,3.24,4.78,2.84
197512,-3.83,-1.49,-0.21,-0.24,0.03,1.54,-0.06,0.09,0.99,0.42
197601,9.69,12.94,12.76,12.87,10.96,10.98,15.75,17.12,23.11,21.58
197602,-3.82,1.07,-0.2,0.89,3.26,1.18,1.22,2.79,5.28,8.63
197603,4.78,2.33,0.33,1.97,2.83,3.1,4.07,2.23,0.91,0.7
