,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196903,2.49,2.45,3.37,2.02,2.73,4.2,6.77,4.1,2.75,1.69
196904,2.31,-0.63,1.51,4.97,1.83,1.85,0.84,2.84,1.96,1.98
196905,-1.57,0.72,-1.46,1.59,2.2,0.32,2.41,-1.3,0.01,-2.24
196906,-11.45,-6.31,-8.44,-5.73,-5.6,-7.14,-8.04,-0.7,-7.19,-8.62
196907,-6.25,-6.22,-5.56,-5.92,-7.84,-6.03,-5.43,-5.29,-7.19,-10.42
196908,2.55,4.99,2.2,3.73,5.18,5.47,5.68,6.2,8.29,8.65
196909,-1.11,-4.82,-2.19,-3.09,-4.19,-1.27,-3.77,-0.51,-1.98,-2.55
196910,7.81,4.18,4.39,5.72,3.08,6.87,5.77,5.35,5.81,10.31
196911,-5.44,-4.35,-1.05,-4.88,-4.5,-3.67,-3.53,-1.46,-2.82,-3.86
196912,-4.39,-3.73,-3.7,-1.96,-0.91,-1.21,1.73,-0.45,-3.91,-3.09
197001,-6.01,-6.96,-4.68,-5.96,-8.21,-7.96,-8.47,-8.55,-9.09,-11.35
197002,5.72,8.09,8.06,5.14,6.29,6.71,5.94,3.3,4.98,3.31
197003,0.79,0.2,2.65,0.68,1.25,-0.75,-1.67,-1.16,-3.51,-3.82
197004,-11.22,-9.11,-8.37,-6.52,-8.14,-9.99,-9.33,-12.25,-13.86,-19.32
197005,-4.42,-5.72,-5.15,-3.62,-2.16,-6.71,-8.18,-6.93,-9.44,-12.32
197006,-5.61,-5.44,-4.99,-3.11,-4.17,-4.54,-2.23,-7.46,-7.81,-9.54
197007,7.56,9.75,9.65,8.09,6.43,6.68,7.37,6.52,5.46,6.23
197008,3.75,4.63,6.86,5.2,3.55,4.54,4.78,4.68,5.8,7.29
197009,6.16,5,1.14,3.51,3.57,4.43,3.75,4.76,9.42,10.55
197010,-4.3,-1.4,-0.58,-0.73,-0.82,-2.33,-0.93,-3.1,-3.8,-3.59
197011,4.11,3.74,6.78,5.04,5.85,5.15,3.71,4.94,4.19,3.91
197012,6.5,8.26,4.38,6.43,5.71,7.89,8.39,7.41,7,3.73
197101,10.03,5.49,2.57,2.43,4.9,5.22,4.05,5.55,7.43,8.43
197102,1.08,3.63,1.48,3,-0.43,1.06,4.25,2.52,3.81,1.17
197103,4.35,3.36,3.14,2.29,3.84,4.79,6.01,4.67,7.15,7.12
197104,4.06,5.03,4.12,4.84,1.75,2.61,4.26,1.92,5.52,3.67
197105,-3.08,-3.45,-4.06,-4.09,-4.34,-3.45,-3.21,-3.62,-2.79,-3.02
197106,-1.04,0.79,-1.41,0.79,-0.18,-0.12,2.66,0.02,0.46,1.67
197107,-4.91,-5.12,-4.47,-4.5,-2.92,-0.98,-4.72,-5.28,-5.01,-5.63
197108,8.85,6.5,6.59,7.03,2.63,2.93,3.2,3.44,2.97,5.17
197109,-1.02,-2.07,-0.56,-0.87,0,-0.68,-0.49,-0.36,0.02,0.18
197110,-5.88,-4.58,-5.09,-6.34,-3.72,-3.67,-2.32,-1.78,-4.14,-5.76
197111,0.3,-0.37,-1.81,-0.88,0.46,-0.67,0.86,0.4,-0.13,0.07
197112,6.3,7.93,10.7,8.23,9.03,8.93,8.82,9.36,9.12,11.73
197201,3.39,5.81,3.61,1.51,1.88,0.82,2.2,3.15,3.13,4.79
197202,1.33,3.45,2.35,2.47,3.16,4.98,3.12,1.26,5.44,4.31
197203,3.63,-1.61,0.61,1.37,1.16,0.22,-0.48,1.23,1.25,0.31
197204,-2.66,0.58,0.57,0.92,1.46,0.21,0.23,0.64,-0.09,2.11
197205,-3.36,0.48,-0.23,0.18,1.3,2.81,3.27,1.4,3.69,2.85
197206,-2.44,-2.68,-3.17,-3.27,-1.42,-2.37,-2.01,-1.51,-1.47,-2.05
197207,-2.02,-2.44,-2.64,0.87,-1.69,0.7,-0.39,0.6,1.17,-2.59
197208,4.18,5.29,6.16,6.74,4.89,1.5,4.68,3.71,1.28,2.51
197209,-3.42,-4.23,-2.99,-0.97,-2.02,0.61,1.26,-0.69,-0.66,-1.31
197210,0.3,-0.88,0.17,2.55,1.7,1.86,1.53,-0.71,2.88,-2.02
197211,6.19,8.3,7.91,6.54,6.95,4.11,5.24,3.46,1.32,6.81
197212,-3.51,-1.77,-2.2,0.76,-0.77,2.54,2.12,1.85,1.31,1.7
197301,-5.21,-4.7,-2.95,-2.68,-0.53,-3.48,-1.68,0.41,-3.42,-5.5
197302,-5.65,-5.54,-6.35,-4.5,-5.44,-4.17,-4.1,-2.5,-1.57,-7.23
197303,-1.1,-2.36,-0.79,0.93,0.01,-0.75,0.44,-0.18,-1.03,-2.4
197304,-6.84,-4.17,-3.04,-3.23,-3.62,-4.12,-3.09,-5.23,-5.37,-7.58
197305,-6.39,-5.27,-4.24,-0.86,-2.99,-1.36,-1.26,-1.86,0.85,-5
197306,-5.13,-3.67,-1.39,-1.87,0.54,-0.56,-0.61,0.17,-0.6,-3.07
197307,9.98,4.69,7.53,2.94,5.11,2.53,3.35,5.38,9,14.17
197308,-3.35,-0.85,-1.4,-3.52,-3.75,-4.05,-2.38,-3.68,-3.7,-3.6
197309,11.6,7.02,9.37,8.24,7.01,8.18,-1.73,2.1,6.42,8.62
197310,0.85,1.19,2.73,1.92,-1.68,-2.6,1.11,0.2,-2.2,-0.07
197311,-12.85,-13.46,-14.1,-10.45,-12.33,-9.89,-10.17,-12.81,-13.49,-19.08
197312,4.56,2.49,5.26,4.11,2.09,2.68,-1.57,-1.65,0.18,2.85
197401,1.76,3.76,1.22,-1.77,0.91,1.2,-1.07,-0.44,0.11,0.4
197402,3.42,1.43,2.72,0,-0.51,1.16,-1.62,-0.36,-0.24,-0.77
197403,-0.62,-2.57,-1.37,-2.9,-1.9,-3.18,-1.32,-1.77,-2.23,-3.29
197404,-4.64,-3.26,-1.5,-3.58,-5.32,-4.14,-5.16,-4.03,-4.9,-5.15
197405,-5.5,-4.26,-5.11,-5.59,-3.19,-2.14,-3.04,-1.14,-3.54,-7.51
197406,-1.19,-0.47,-1.49,-1.2,-0.73,-0.91,-1.74,-3.13,-5.31,-5.2
197407,-3.19,-3.69,-3.68,-6.61,-9.19,-7.03,-6.19,-8.95,-10.4,-9.37
197408,-5.71,-6.62,-9.65,-6.62,-5.29,-9.83,-9.58,-10.26,-10.22,-9.86
197409,-8.49,-8.16,-6.9,-10.78,-7.65,-11.28,-12.59,-12.29,-15.21,-15.12
197410,15.4,17.77,16.61,17.13,13.48,15.51,15.65,22.67,20.17,19.69
197411,-1.65,-1.77,-1.67,-1.3,-3.29,-4.99,-6.36,-4.12,-4.1,-5.1
197412,-4.58,-0.84,-1.79,-1.13,-0.04,-2.78,-1.76,-3.58,-6.37,-6.54
197501,20.42,13.43,15.02,11.6,11.97,14.29,14.15,12.33,16.79,17.22
197502,4.8,3.03,3.07,5.46,4.72,6.24,9.55,8.51,5.12,7.18
197503,5.53,4.34,5.97,3.56,2.1,0.88,1.34,5.26,3.86,6.89
197504,4.79,5.11,4.49,2.63,2.7,3.02,7.3,5.82,5.96,9.25
197505,6.76,6.84,4.63,7.5,4.7,5.77,6.76,5.6,3.44,6.69
197506,6.57,5.31,6.63,4.82,5.99,5.31,4.34,4.81,4.46,4.9
197507,-3.26,-1.73,-6.84,-5.85,-6.85,-7.71,-6.53,-6.07,-6.13,-6.27
197508,-4.82,-3.46,-4.47,-1.79,-1.44,-2.21,-1.77,-2.35,-2.24,-2.48
197509,-6.72,-1.78,-4.11,-2.94,-2.99,-2.06,-4.18,-4.43,-4.61,-4.75
197510,4.16,8.29,7.28,7.88,6.13,8.52,5.63,6.37,4.21,2.7
197511,2.91,2.62,5.56,5.3,4.5,4.37,2.44,2.31,1.25,0.73
197512,-0.58,0.15,-1.94,-1.01,-1.93,-1.1,-0.41,-1.24,-1.7,0.36
197601,20.48,15.11,13.84,12.28,10.93,13.21,13.94,9.7,11.46,15.43
197602,9.4,4.15,3.72,0.42,0.61,0.02,0.54,-1.32,-2.13,1.57
197603,3.03,4.11,2.12,3.54,2.51,2.55,2.07,1.88,4.45,1.15
197604,-2.48,-1.04,-2.47,-2.77,-0.85,-1.6,-1.4,0.01,-0.12,-0.93
197605,-1.69,-1.64,-1.75,-3.23,-2.93,0.06,-1.36,-0.59,0.94,-0.37
197606,7.25,3.94,6.72,4.3,3.51,6.08,4.98,3.68,3.55,4.99
197607,0.41,0.2,-1.35,-0.44,0.5,0.03,-0.94,-0.28,-0.48,-2.78
197608,-1.76,-3.08,-1.45,-1.37,0.39,0.71,1.95,0.14,-1.47,-0.94
197609,0.7,1.05,3.14,1.51,2.65,4.05,0.98,2.86,3.08,3.47
197610,-3.17,-2.6,-2.66,-3.87,-2.88,-1.64,-0.28,-2.16,-1.51,-3.33
197611,3.9,2.38,0.05,1.51,1.09,1.88,1.13,-0.34,-0.08,0.74
197612,10.09,9.27,7.6,7.72,6.71,7.19,4.72,5.68,4.09,5.18
197701,1.54,-1.38,-2.36,-1.24,-2.08,-3.65,-4.19,-4.19,-6.35,-5.62
197702,-1.95,-2.32,-1.93,-2.64,-2.16,-1.42,-0.47,-1.18,-2.17,-2.6
197703,-0.23,0.08,-1.13,-0.36,-0.19,-1.55,-2.19,-0.76,-1.27,-0.54
197704,2.92,1.01,0.88,1.33,2.85,1.11,-0.43,-1.08,-0.12,1.01
197705,-0.17,-1.28,-1.12,-0.8,-0.12,-1,-0.94,-1.82,-1.58,-0.85
197706,6.2,4.27,4.89,5.28,4.57,4.17,3.91,6.19,5.03,7.23
197707,-1.48,-0.94,-0.81,-0.09,-1.08,-1.76,-1.62,-0.99,-2.5,-1.23
197708,-1.65,-1.03,-0.25,-3.12,-2.36,-1.27,-1.15,-0.28,-1.62,-0.79
197709,-2.22,0.09,-0.87,0.81,1.82,-0.94,0.37,-0.47,-0.21,0.23
197710,-3.72,-3.45,-4.4,-3.57,-4.05,-4.23,-4.17,-3.31,-4.22,-3.93
197711,9.29,7.66,4.34,5.03,3.47,3.58,4.16,3.79,5.41,5.66
197712,1.85,0.87,-0.37,0.72,1.02,0.61,0.56,1.61,-0.25,-0.04
197801,-2.6,-3.72,-5.33,-4.72,-4.45,-5.9,-6.82,-4.79,-7.17,-6.86
197802,2.31,1.73,-1.92,-0.62,1.36,-1.59,-1.43,-2.59,-1.73,-0.97
197803,8.74,6.99,3.06,3.6,3.37,3,3.94,0.67,5.03,3.53
197804,8.31,8.55,9.54,6.05,5.19,9.11,9,10.27,9.39,10.65
197805,7.47,5.5,2.11,2.07,1.38,2.92,0.71,1.53,2.8,3.22
197806,-1.31,-0.21,-1.02,-1,-1.57,-2.1,-1.28,-0.97,-0.6,-1.24
197807,6.08,5.66,5.68,7.31,3.88,6.16,5.15,5.06,6.39,7.25
197808,6.68,5.65,4.79,3.55,2.96,4.53,3.84,4.22,4.79,6.77
197809,0.04,-0.16,0.74,-1.65,0.17,-1.48,-0.2,-1.66,-1.52,-2.59
197810,-21.62,-13.49,-10.54,-8.25,-8.35,-10.86,-11.39,-11.08,-13.15,-16.74
197811,6.45,2.61,4.03,3.35,2.62,3.27,2.51,3.16,4.32,5.18
197812,1.33,1.7,0.3,3.66,-0.01,1.89,1.27,2.31,2.66,1.47
197901,11.57,6.5,5.06,5.28,5.01,4.45,4.08,3.72,4.84,5.76
197902,-3.47,-2.61,-2.46,-2.33,-2.59,-3.84,-2.62,-3.82,-3.02,-4.57
197903,12.19,8.15,7.69,5.55,3.97,5.21,6.76,5.55,7.77,10.05
197904,2.78,0.56,0.4,-0.05,-0.52,0.85,2.14,0.09,2.23,0.65
197905,-2.4,-0.79,-2.61,-1.16,-1.29,-2.41,-1.34,-1.5,-0.15,-1.87
197906,5.37,5.16,5.55,2.07,3.56,4.97,5.44,4.89,5.61,6.65
197907,3.81,3.02,2.52,-0.54,2.47,1.82,0.97,2.46,1.09,2.61
197908,6.91,7.07,5.74,3.82,6.92,6.74,6.02,7.18,8.5,9.29
197909,0.97,0.19,0.8,-0.11,-0.36,0.54,-1.79,-0.1,0.3,-0.41
197910,-9.22,-7.69,-5.53,-5.4,-8.11,-8.02,-7.31,-7.86,-7.45,-8.62
197911,8.91,6.8,5.6,4.86,6.49,4.02,5.2,7.21,8.77,10.13
197912,10.23,2.77,0.81,0.57,3.38,2.94,1.6,2.77,4.55,6.18
198001,8.79,7.1,9.65,5.03,5.74,6.92,2.57,4.74,7.79,7.27
198002,0.58,0.08,3.56,2.01,-2.04,-0.89,-3.83,-3.29,-3.13,-0.91
198003,-18.27,-13.73,-13.21,-10.4,-10.58,-10.75,-6.44,-9.99,-12.08,-15.81
198004,5.41,6.04,5.58,4.47,5.93,3.1,5.22,6.44,3.7,5.98
198005,5.39,8.08,6.29,4.22,7.17,5.7,5.46,6.06,7.85,6.59
198006,4.41,1.15,3.39,3,2.91,2.9,3.5,3.71,4.53,5.02
198007,8.11,9.27,5.75,4.25,7.48,4.36,8.39,5.32,11.14,10.43
198008,6.57,1.31,1.89,2.95,0.32,1.74,2.42,1.96,1.82,4.86
198009,3.74,0.26,3.71,1.3,0.04,4.57,1.07,4.25,5.21,7.75
198010,3.19,-1.35,4.78,0.19,-0.19,2.41,2.72,4.53,2.38,2.22
198011,7.45,3.41,11.82,7,8.88,11.98,10.26,13.56,13.59,15.8
198012,-3.05,0.19,-5.84,-1.89,-0.52,-3.35,-3.12,-4.17,-5.53,-2.43
198101,-2.06,-0.49,-3.87,0.89,-2.41,-4.89,-3.97,-6.9,-6.09,-9.26
198102,1.68,3.84,2.34,4.11,3.65,1.76,0.96,0.36,0.51,-0.14
198103,5.9,10.37,3.58,3.12,4.77,3.16,1.8,4.78,6.7,5.62
198104,-1.3,0.11,1.25,0.77,-0.51,-3.71,-1.18,-3.44,0.27,-1.14
198105,1.13,1.94,-1.5,2.43,0.57,0.31,0.67,-0.59,2.54,4.06
198106,-1.38,-2.1,1.4,-0.96,-0.36,0.91,0.59,0.11,-4.19,-4.2
198107,-0.39,-3.78,-2.73,-2.17,-1.15,-0.95,0.21,2.08,2.95,0.09
198108,-7.31,-6.7,-5.12,-4.24,-4.33,-4.77,-5.76,-6.06,-6.79,-9.38
198109,-8.53,-4.45,-6.19,-3.93,-1.48,-6.03,-4.03,-7.47,-8.91,-9.36
198110,7.93,4.34,5.2,0.52,3.85,8.17,4.64,7.44,9.3,12.12
198111,1.96,5.48,5.35,4.46,4.6,4.34,4.75,4.52,3.94,3.45
198112,-0.8,-1.53,-1.4,-0.5,-1.74,-3.02,-2.96,-4.18,-4.35,-4.48
198201,-2.07,-2.93,-2.65,1.88,-0.63,-3.54,-0.83,-2.95,-5.57,-5.57
198202,-4.37,-2.49,-2.07,-1.65,-3.99,-3.37,-3.78,-6.5,-8.6,-9.31
198203,-1.59,0.29,-0.14,0.38,1.08,0.37,-0.36,-1.62,-2.36,-4.56
198204,5.39,6.77,5.78,4.88,1.96,3.68,3.4,5.44,5.71,5.94
198205,-3.9,-3.64,-3.4,-1.75,-2.58,-3.19,-2.78,-2.45,-1.96,-4.57
198206,-2.03,-0.71,-1.18,-0.74,-1.33,0.45,-0.16,-3.93,-4.64,-4.62
198207,-0.82,-2.48,-2,-1.33,-1.59,0.08,-3.18,-1.31,-4.12,-4.86
198208,11.52,13.23,11.89,11.18,12.74,10.73,11.97,11.88,13.22,11.96
198209,3.03,0.29,1.74,3.76,1.8,1.61,0.71,2.69,2.33,1
198210,17.13,14.14,12.77,10.74,10.08,8.66,11.29,10.77,12.99,18.16
198211,9.09,7.11,4.07,4.81,4.27,4.58,4.03,4.36,5.73,8.86
198212,2.32,0.82,0.77,2.21,-0.98,3.05,2.78,1.53,0.51,-1.93
198301,9.34,3.59,3.21,1.89,2.8,5.44,3,3.34,3.6,6.54
198302,3.11,3.43,3.75,3.67,5.12,1.37,3.06,3.72,3.75,3.11
198303,6.15,4.44,6.21,5.18,2.58,3.02,2.36,3.66,3.35,3.16
198304,9.6,8.19,7.63,6.36,6.29,8.94,7.41,5.94,5,8.69
198305,2.91,1.96,0.03,-1.55,0.44,-1.54,-0.44,1.34,2.84,5.68
198306,5.75,2.64,1.85,1.48,2.61,2.57,6.19,4.36,4.94,4.96
198307,-2.35,-0.69,-1.37,-2.05,-3.68,-2.35,-2.71,-4.46,-3.52,-6.04
198308,-1.46,-0.33,3.49,1.35,1.56,1.17,0.25,0.28,-1.16,-1.91
198309,1.1,2.95,0.93,1.24,2.2,1.2,3.86,1.41,1.72,0.46
198310,-3.23,-2.41,-0.87,-0.87,-1.21,-1.21,-0.98,-3.33,-3.42,-6.94
198311,6.12,3.73,2.82,4.19,4.29,2.58,-0.73,2.77,2.76,3.75
198312,1.1,-0.18,-0.53,-1.49,1.28,-2.6,-0.69,-1.4,-1.64,-1.26
198401,-0.75,-1.98,1.25,-1.72,0,3.84,-2.22,-2.75,-1.7,-4.83
198402,-6.09,-6.81,-0.63,-4.47,-4.36,-2.12,-3.45,-3.72,-5.43,-6.73
198403,3.62,2.74,1.78,1.98,2.81,-2.35,2.14,1.22,0.66,1.13
198404,-3.13,-1.58,2.81,1.13,0.53,1.74,0.67,-0.87,-0.17,-0.11
198405,-6.53,-6.28,-5.57,-6.22,-5,-4.28,-4.71,-3.96,-5.53,-4.77
198406,2.98,1.37,0.85,2.88,2.79,6.1,1.75,3.78,2.26,3.38
198407,-6.92,-5.41,-3.05,-2.8,-1.84,-0.7,0.19,0.9,-1.7,-4.3
198408,11.52,14.09,12.17,9.71,10.8,9.77,9.61,11.53,12.05,13.95
198409,-1.34,0.01,1.61,-0.88,1.21,0.93,1.51,-0.47,-2.52,-2.45
198410,-3.04,-0.02,-1.06,-0.62,0.58,1.83,1.8,1.29,-0.79,-1.3
198411,-2.26,-0.42,0.34,-0.07,-0.54,-0.65,-0.08,-1.78,-2.87,-3.6
198412,0.7,-0.85,3.62,1.43,3.09,2.18,3.59,2.91,2.07,3.18
198501,10.92,7.95,6.73,5.55,6.51,8.13,7.67,9.5,12.16,13.57
198502,2.68,3.43,2.34,1.82,2.35,2.04,1.52,0.76,1.47,0.83
198503,-0.08,0.98,2.16,0.84,0.8,-0.55,0.72,-1.87,-2.09,-2.79
198504,-1.3,-1.78,0.86,-0.24,0.64,0.45,-1.07,-0.54,-0.26,-2.24
198505,2.34,4.74,5.98,3.76,5.43,6.37,7.84,5.71,7.48,5.83
198506,0.33,1.3,1.13,1.54,2.81,1.15,2.82,0.41,2.44,2.9
198507,-0.8,-0.67,0.71,-1.23,0.07,-0.35,-1.12,1.64,0.6,-0.58
198508,-0.74,0.42,0.66,0.59,-0.4,0.18,-0.65,-1.45,-1.26,-2.19
198509,-4.39,-1.36,-3.46,-1.42,-3.35,-4.04,-4.49,-4.07,-5.07,-6.3
198510,2.05,3.08,4.31,4.73,5.29,6.16,4.62,5.44,3.39,5.25
198511,8.83,6.18,4.44,6.18,7.7,7.72,7.27,7.58,8.74,6.68
198512,3.42,4.26,2.99,3.54,5.93,3.88,4.1,6.92,4.22,3.86
198601,-3.27,-0.92,-0.18,1.17,0.94,1.91,2.14,1.03,2.9,1.75
198602,4.47,9.36,4.78,8.65,8.98,8.66,9.02,5.27,8.3,8.85
198603,3.17,6.7,6.22,4.64,5.35,6.43,6.8,4.48,4.36,5.01
198604,3.1,-0.39,1.07,-2.79,-1.92,-2.78,-2.01,0.81,-0.18,-1.05
198605,3.5,7.32,5.84,5.9,5.49,4.98,5.39,2.45,5.19,5.51
198606,-0.21,2.17,0.47,2.99,2.37,3.02,2.95,0.51,-1.53,-0.55
198607,-11.13,-8.49,-4.76,-3.76,-4.77,-3.56,-3.58,-6.34,-8.4,-8.37
198608,7.86,12.16,8.04,7.53,7.97,7.31,5.53,4.87,5.72,4.21
198609,-5.59,-2.9,-4.68,-8.27,-8.34,-9.75,-9.77,-10,-7.31,-9.47
198610,4.79,4.02,7.71,5.15,5.16,5.16,6.82,6.18,1.44,6.39
198611,2.11,0.69,2.33,1.89,3.12,2.28,1.41,1.05,1.46,0.62
198612,-3.31,-2.14,-3.64,-2.4,-2,-2.22,-2.28,-2.09,-4.15,-3.34
198701,15.08,12.48,9.72,13.12,12.77,13.45,13.22,13.62,11.33,14.49
198702,6.33,4.45,0.86,2.03,3.22,3.24,5.46,6.55,7.17,7.16
198703,6.92,6.15,5.2,3.2,1.15,1.4,0.6,1.04,2.09,0.53
198704,-2.39,0.75,-1.02,-1.3,-1.99,-2.36,-2.49,-1.73,0.42,-3.2
198705,1.08,2.99,0.96,0.79,0.73,0.81,-0.33,0.66,0.81,-0.79
198706,2.48,5.33,5.31,4.48,5.59,5.73,5.41,4.09,2.41,4.67
198707,5.36,6.41,4.79,5.45,3.26,1.96,4.18,4.81,5.61,2.98
198708,0.35,2.2,5.95,4.28,3.24,4.31,4.33,4.57,5.14,3.5
198709,-1.93,-1.49,-0.62,1.2,-0.5,-4.69,-3.21,-2.54,-2.3,-4.12
198710,-27.58,-21.34,-21,-18.38,-17.46,-21.72,-23.67,-23.2,-24.45,-28.31
198711,-8.61,-8.2,-8.57,-3.96,-7.76,-7.4,-7.61,-7.04,-8.11,-8.74
198712,6.76,7.79,4.87,4.36,5.12,8.16,8.51,8.76,8.18,10.01
198801,6.83,6.52,5.37,4.1,6.24,2.83,3.98,5.56,2.78,3.85
